"BLUE","GREEN","RED","RE1","RE2","RE3","BNIR","NIR","SWIR1","SWIR2","cover"
1088,1501,2255,2548,3109,3527,3908,4283,4425,2691,"NPV"
746,1030,1591,1878,2250,2518,2808,3041,3686,2263,"NPV"
205,497,205,839,3899,5238,5533,5772,1534,600,"PV"
262,593,242,885,4127,5717,5959,5976,1832,782,"PV"
195,560,176,968,4203,5615,5791,5812,1584,694,"PV"
962,1351,1843,2317,2748,3156,3498,3844,4143,2460,"NPV"
780,1161,1648,2121,2502,2851,3123,3370,3963,2412,"NPV"
97,395,137,632,3515,5005,5302,5431,1424,584,"PV"
204,502,181,834,3547,4654,4945,5075,1399,575,"PV"
766,1063,1511,1790,2216,2501,2722,2942,3530,2092,"NPV"
186,550,186,908,3888,5091,5263,5428,1769,685,"PV"
704,1011,1342,1696,2165,2464,2803,3044,3622,2189,"NPV"
216,626,207,1016,4487,5707,5908,6077,1838,759,"PV"
759,1038,1476,1708,1982,2239,2476,2618,3746,2490,"NPV"
145,531,155,879,4122,5628,5925,6000,1615,672,"PV"
174,563,181,856,4156,5778,6135,6054,1735,726,"PV"
819,1291,1963,2210,2453,2745,3008,3226,3993,2571,"NPV"
247,564,226,871,3770,5155,5656,5546,1679,709,"PV"
753,1133,1662,1956,2263,2571,2826,3048,3587,2143,"NPV"
181,539,164,907,3871,4762,4966,5100,1547,577,"PV"
874,1258,1741,1980,2441,2788,3292,3373,3462,2073,"NPV"
231,583,216,892,4140,5652,6051,6137,1908,809,"PV"
816,1132,1535,1822,2239,2551,2783,3007,3857,2411,"NPV"
888,1214,1716,1975,2372,2693,2955,3175,3652,2275,"NPV"
1275,1711,2351,2568,2746,2918,3061,3145,4114,4207,"soil"
1241,1728,2407,2621,2809,2984,3072,3110,3816,3757,"soil"
1225,1626,2183,2355,2510,2661,2768,2825,3591,3545,"soil"
840,1092,1557,1789,2010,2217,2357,2428,3706,3653,"soil"
1360,1772,2348,2558,2742,2925,3073,3152,4072,3870,"soil"
793,921,1233,1413,1582,1765,1945,2053,3044,3059,"soil"
1136,1368,1755,1902,2018,2126,2214,2263,2737,2720,"soil"
1783,2352,3006,3255,3473,3693,3872,3970,4969,4699,"soil"
1387,1760,2368,2626,2817,2978,3092,3157,3799,3740,"soil"
1315,1831,2471,2687,2873,3052,3174,3243,4330,4167,"soil"
1277,1597,2099,2278,2445,2624,2768,2852,3431,3141,"soil"
1180,1622,2366,2584,2771,2961,3108,3194,4193,4268,"soil"
872,999,1273,1404,1538,1702,1896,2020,3792,3726,"soil"
1545,2276,3060,3291,3495,3686,3782,3824,4813,4548,"soil"
1826,2531,3343,3553,3735,3903,3991,4028,4962,4858,"soil"
474,522,618,662,706,759,821,861,1860,2134,"soil"
1002,1348,2042,2221,2378,2526,2642,2712,3739,3727,"soil"
1358,1741,2295,2515,2716,2928,3112,3228,4458,4326,"soil"
773,896,1130,1236,1345,1476,1615,1698,3222,3298,"soil"
1917,2650,3508,3779,3997,4196,4309,4364,5204,4919,"soil"
1094,1391,1887,2099,2284,2469,2610,2693,3665,3479,"soil"
510,685,940,1027,1098,1167,1224,1258,1646,1683,"soil"
496,691,963,1048,1124,1194,1229,1244,1526,1503,"soil"
490,650,873,942,1004,1065,1107,1130,1437,1418,"soil"
336,437,623,715,804,887,943,971,1482,1461,"soil"
544,709,939,1023,1097,1170,1229,1261,1629,1548,"soil"
317,368,493,565,633,706,778,821,1218,1224,"soil"
455,547,702,761,807,850,886,905,1095,1088,"soil"
713,941,1202,1302,1389,1477,1549,1588,1987,1880,"soil"
555,704,947,1050,1127,1191,1237,1263,1519,1496,"soil"
526,732,988,1075,1149,1221,1270,1297,1732,1667,"soil"
511,639,839,911,978,1049,1107,1141,1373,1256,"soil"
472,649,946,1033,1108,1184,1243,1278,1677,1707,"soil"
349,399,509,562,615,681,759,808,1517,1490,"soil"
618,911,1224,1317,1398,1475,1513,1530,1925,1819,"soil"
730,1012,1337,1421,1494,1561,1597,1611,1985,1943,"soil"
190,209,247,265,283,304,328,344,744,854,"soil"
401,539,817,888,951,1010,1057,1085,1496,1491,"soil"
543,696,918,1006,1086,1171,1245,1291,1783,1731,"soil"
309,358,452,494,538,590,646,679,1289,1319,"soil"
767,1060,1403,1512,1599,1678,1723,1746,2081,1968,"soil"
438,556,755,840,914,988,1044,1077,1466,1391,"soil"
765,1027,1411,1541,1648,1751,1836,1887,2469,2524,"soil"
745,1037,1444,1573,1686,1791,1843,1866,2289,2254,"soil"
735,976,1310,1413,1506,1597,1661,1695,2155,2127,"soil"
504,655,934,1073,1206,1330,1414,1457,2223,2192,"soil"
816,1063,1409,1535,1645,1755,1844,1891,2443,2322,"soil"
476,552,740,848,949,1059,1167,1232,1827,1835,"soil"
682,821,1053,1141,1211,1275,1328,1358,1642,1632,"soil"
1070,1411,1803,1953,2084,2216,2323,2382,2981,2820,"soil"
832,1056,1421,1575,1690,1787,1855,1894,2279,2244,"soil"
789,1098,1483,1612,1724,1831,1904,1946,2598,2500,"soil"
766,958,1259,1367,1467,1574,1661,1711,2059,1885,"soil"
708,973,1420,1550,1663,1777,1865,1916,2516,2561,"soil"
523,599,764,842,923,1021,1138,1212,2275,2236,"soil"
927,1366,1836,1975,2097,2212,2269,2294,2888,2729,"soil"
1095,1519,2006,2132,2241,2342,2395,2417,2977,2915,"soil"
285,313,371,397,424,455,493,516,1116,1280,"soil"
601,809,1225,1333,1427,1516,1585,1627,2244,2236,"soil"
815,1044,1377,1509,1629,1757,1867,1937,2675,2596,"soil"
464,538,678,741,807,885,969,1019,1933,1979,"soil"
1150,1590,2105,2267,2398,2517,2585,2618,3122,2951,"soil"
656,835,1132,1259,1370,1481,1566,1616,2199,2087,"soil"
1020,1369,1881,2054,2197,2335,2449,2516,3291,3366,"soil"
993,1383,1926,2097,2248,2387,2458,2488,3052,3005,"soil"
980,1301,1746,1884,2008,2129,2215,2260,2873,2836,"soil"
672,873,1246,1431,1608,1774,1885,1943,2964,2922,"soil"
1088,1418,1879,2047,2193,2340,2458,2522,3258,3096,"soil"
634,737,987,1131,1266,1412,1556,1643,2435,2447,"soil"
909,1094,1404,1522,1614,1701,1771,1810,2189,2176,"soil"
1426,1881,2405,2604,2779,2954,3097,3176,3975,3760,"soil"
1110,1408,1894,2101,2254,2383,2474,2525,3039,2992,"soil"
1052,1465,1977,2150,2298,2441,2539,2594,3464,3333,"soil"
1021,1278,1679,1822,1956,2099,2215,2281,2745,2513,"soil"
944,1297,1893,2067,2217,2369,2486,2555,3355,3414,"soil"
697,799,1019,1123,1230,1362,1517,1616,3034,2981,"soil"
1236,1821,2448,2633,2796,2949,3026,3059,3850,3638,"soil"
1461,2025,2674,2842,2988,3122,3193,3222,3969,3887,"soil"
380,418,495,530,565,607,657,689,1488,1707,"soil"
802,1078,1634,1777,1902,2021,2113,2170,2992,2982,"soil"
1087,1393,1836,2012,2173,2342,2490,2582,3567,3461,"soil"
618,717,904,989,1076,1181,1292,1358,2577,2639,"soil"
1534,2120,2806,3023,3197,3357,3447,3491,4163,3935,"soil"
875,1113,1509,1679,1827,1975,2088,2155,2932,2783,"soil"
