BODTYP, NAME
AB, Vega
AT, Tschernitza
AZ, Kalkpaternia
BB, Braunerde
CF, Terra Fusca
DD, Pelosol
FF, Felshumusboden
FS, Skeletthumusboden
GG, Gley
GH, Moorgley
GM, Anmoorgley
GN, Nassgley
HH, Hochmoor
HN, Niedermoor
IA, Nasstrand
IW, Watt
KV, Erdniedermoor basenreich
LF, Fahlerde
LL, Parabraunerde
MC, Kalkmarsch
MD, Dwogmarsch
MH, Haftnässmarsch
MK, Knickmarsch
MN, Kleimarsch
MO, Organomarsch
MR, Rohmarsch
OL, Lockersyrosem
OO, Syrosem
PP, Podsol
PS, PS
RN, Ranker
RQ, Regosol
RR, Rendzina
RZ, Pararendzina
SG, Stagnogley
SS, Pseudogley
TC, Kalktschernozem
TT, Tschernozem
YE, Plaggenesch
YK, Kolluvisol
YO, Hortisol
YU, Treptosol
YY, Rigosol
ÜA, Strand
